GDP and main components (output, expenditure and income) [nama_10_gdp];;;;;;;;;;
;;;;;;;;;;
Last update;30.11.18;;;;;;;;;
Extracted on;02.12.18;;;;;;;;;
Source of data;Eurostat;;;;;;;;;
;;;;;;;;;;
UNIT;Chain linked volumes, index 2010=100;;;;;;;;;
NA_ITEM;Gross domestic product at market prices;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Albania;8.800,30;8.662,20;8.996,60;9.268,30;9.585,80;9.625,40;9.968,60;10.264,10;10.740,00;11.575,70
Serbia;33.704,50;30.654,70;29.766,30;33.423,80;31.683,10;34.262,90;33.318,60;33.491,00;34.616,60;36.795,40
Turkey;521.812,20;461.925,90;581.023,80;596.491,20;678.483,70;714.313,40;703.411,60;772.978,80;780.224,90;753.904,00
Bosnia and Herzegovina;13.047,80;12.679,30;12.968,90;13.411,80;13.407,50;13.691,80;13.988,30;14.615,70;15.287,90;:
Kosovo (under United Nations Security Council Resolution 1244/99);3.882,80;4.069,60;4.402,00;4.814,50;5.058,80;5.326,60;5.567,50;5.806,90;6.070,00;6.413,80
;;;;;;;;;;
Special value:;;;;;;;;;;
:;not available;;;;;;;;;
;;;;;;;;;;
UNIT;Chain linked volumes (2010), million euro;;;;;;;;;
NA_ITEM;Gross domestic product at market prices;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
European Union (current composition);13.148.618,90;12.579.416,10;12.841.856,50;13.067.311,50;13.014.681,10;13.051.370,00;13.285.083,30;13.592.707,40;13.868.088,40;14.205.037,90
European Union (without United Kingdom);11.248.883,00;10.760.263,50;10.991.317,90;11.186.335,80;11.106.652,70;11.102.025,10;11.277.714,50;11.538.122,00;11.777.718,30;12.079.407,30
European Union (15 countries);12.114.500,60;11.579.563,40;11.825.125,10;12.018.619,60;11.959.728,30;11.983.501,10;12.185.259,20;12.451.375,00;12.690.896,20;12.972.825,90
Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19);9.659.731,50;9.297.393,70;9.491.671,60;9.659.719,90;9.574.756,80;9.549.818,10;9.703.607,10;9.940.032,30;10.133.815,90;10.374.376,60
Euro area (19 countries);9.799.052,40;9.357.898,20;9.552.204,50;9.708.365,00;9.625.414,40;9.602.149,20;9.736.839,70;9.940.032,30;10.133.815,90;10.374.376,60
Euro area (12 countries);9.594.916,40;9.171.829,30;9.361.942,90;9.511.850,60;9.426.358,90;9.401.198,10;9.530.445,60;9.727.008,90;9.914.109,30;10.145.479,80
Belgium;363.540,10;355.348,90;365.100,50;371.666,10;372.538,70;373.286,30;377.969,80;384.458,30;390.181,70;396.787,00
Bulgaria;39.134,30;37.731,00;38.230,50;38.962,60;38.974,70;39.167,20;39.886,90;41.271,50;42.896,20;44.531,10
Czechia;160.965,00;153.234,60;156.718,20;159.504,40;158.228,60;157.463,30;161.738,60;170.325,70;174.499,60;181.978,00
Denmark;251.015,50;238.699,40;243.165,40;246.416,00;246.974,10;249.279,20;253.316,00;259.250,20;265.471,40;271.477,30
Germany (until 1990 former territory of the FRG);2.626.501,10;2.478.921,70;2.580.060,00;2.674.490,20;2.687.648,50;2.700.806,80;2.759.632,20;2.807.621,30;2.870.574,80;2.932.496,20
Estonia;16.876,40;14.391,40;14.716,50;15.834,60;16.516,60;16.836,50;17.322,80;17.652,00;18.267,90;19.155,10
Ireland;173.259,80;164.558,30;167.721,20;173.962,10;174.279,80;176.609,80;192.152,40;240.415,80;252.406,80;270.635,00
Greece;249.880,40;239.133,70;226.031,40;205.389,10;190.394,70;184.223,20;185.586,10;184.773,50;184.420,70;187.196,40
Spain;1.120.839,00;1.080.783,00;1.080.935,00;1.070.139,00;1.038.808,00;1.021.089,00;1.035.180,00;1.072.909,00;1.106.948,00;1.139.926,00
France;2.015.034,10;1.957.135,90;1.995.289,00;2.039.039,70;2.045.424,70;2.057.213,00;2.076.883,70;2.099.997,60;2.124.589,60;2.170.505,40
Croatia;49.435,10;45.830,60;45.155,50;45.001,90;43.966,60;43.750,40;43.712,10;44.761,40;46.344,30;47.698,10
Italy;1.669.421,40;1.577.902,80;1.604.514,50;1.613.766,50;1.568.274,20;1.541.171,90;1.542.923,80;1.557.180,30;1.575.018,00;1.599.773,50
Cyprus;19.436,90;19.045,20;19.299,50;19.377,40;18.819,70;17.728,30;17.495,80;17.839,10;18.697,50;19.488,70
Latvia;21.634,10;18.518,40;17.788,60;18.923,70;19.687,20;20.165,60;20.540,30;21.150,70;21.587,40;22.588,30
Lithuania;32.371,00;27.575,50;28.027,70;29.721,40;30.858,80;31.938,50;33.068,30;33.736,50;34.530,40;35.959,90
Luxembourg;40.059,90;38.313,90;40.177,80;41.198,00;41.052,80;42.553,00;44.381,40;46.119,40;47.231,50;47.962,00
Hungary;105.121,70;98.182,70;98.826,00;100.464,20;98.825,30;100.894,30;105.156,70;108.875,50;111.358,80;115.965,80
Malta;6.534,60;6.373,70;6.599,50;6.687,10;6.868,30;7.184,90;7.771,30;8.511,20;8.954,90;9.553,30
